home_win_rate,away_win_rate,home_avg_goals,away_avg_goals,home_last5_points,away_last5_points,home_form,away_form,home_goal_difference,away_goal_difference,home_avg_conceded,away_avg_conceded,home_avg_shots,away_avg_shots,home_streak,away_streak,target
0.0,0.4,0.8,1.2,1,7,0,3,-1.5999999999999999,-0.40000000000000013,2.4,1.6,12.0,6.4,0,0,A
0.6,0.0,2.6,0.4,10,1,6,0,0.0,-0.9999999999999999,2.6,1.4,19.4,8.6,0,0,H
0.4,0.8,1.6,2.8,7,13,3,6,-0.19999999999999996,1.4,1.8,1.4,10.8,12.8,0,0,H
0.6,0.4,1.0,1.4,9,7,3,4,-0.3999999999999999,-0.40000000000000013,1.4,1.8,10.6,8.8,2,-1,D
0.6,0.6,1.6,2.4,9,9,6,6,0.40000000000000013,0.7999999999999998,1.2,1.6,8.2,9.8,-1,-2,A
0.2,0.0,1.8,1.0,4,2,0,0,-0.40000000000000013,-1.6,2.2,2.6,15.0,8.0,0,0,D
0.4,0.4,0.8,1.4,7,7,4,6,-0.8,-0.40000000000000013,1.6,1.8,11.6,8.2,0,1,H
0.0,0.4,0.6,1.6,1,8,1,5,-0.7999999999999999,0.0,1.4,1.6,9.4,16.0,-1,0,A
0.0,0.2,0.6,2.0,1,6,0,2,-1.2000000000000002,0.3999999999999999,1.8,1.6,11.0,12.2,-1,0,A
0.6,0.4,2.2,2.4,10,8,6,4,0.0,1.2,2.2,1.2,18.4,12.4,1,0,H
0.8,0.6,2.4,2.0,12,10,6,4,1.4,0.3999999999999999,1.0,1.6,14.0,11.4,-1,1,A
0.2,0.6,1.2,2.6,5,10,3,3,-0.8,0.8,2.0,1.8,6.8,11.0,0,-1,H
0.4,0.4,1.8,1.0,7,6,1,0,-0.5999999999999999,-0.3999999999999999,2.4,1.4,13.4,8.0,0,-2,A
0.6,0.2,3.2,1.8,11,5,2,4,1.8000000000000003,0.0,1.4,1.8,14.8,13.4,1,0,H
0.0,0.0,1.0,1.2,1,3,0,1,-1.2000000000000002,-1.0000000000000002,2.2,2.2,14.2,8.4,-1,0,H
0.6,0.6,1.8,2.0,10,9,4,6,0.8,0.3999999999999999,1.0,1.6,15.8,8.4,1,1,A
0.0,0.0,1.4,0.2,2,1,1,1,-0.8000000000000003,-1.4000000000000001,2.2,1.6,12.0,8.8,-1,-2,D
0.8,0.4,2.4,1.6,13,8,6,2,1.2,0.0,1.2,1.6,10.4,7.8,2,1,H
0.4,0.4,1.8,1.6,7,7,4,6,0.0,-0.3999999999999999,1.8,2.0,10.6,12.4,-2,-1,A
0.2,0.4,0.8,1.2,4,7,1,6,-1.2,0.0,2.0,1.2,7.6,16.0,-1,-1,H
0.4,0.0,2.6,0.6,9,1,4,0,1.4000000000000001,-0.7999999999999999,1.2,1.4,14.0,9.6,1,-2,H
0.4,0.2,2.4,0.8,8,4,4,1,1.2,-0.5999999999999999,1.2,1.4,10.4,14.0,-1,1,H
